reaction,PRR,count
GASTROINTESTINAL HAEMORRHAGE,12.74548560273304,19
MULTIPLE INJURIES,10.733040507564667,8
PSYCHOLOGICAL TRAUMA,9.391410444119083,7
ATRIAL FIBRILLATION,9.391410444119083,7
DRY SKIN,8.0497803806735,6
DRUG INTERACTION,6.708150317227916,20
ACUTE MYOCARDIAL INFARCTION,6.708150317227916,5
RED BLOOD CELL COUNT DECREASED,6.037335285505125,9
INTERNATIONAL NORMALISED RATIO INCREASED,5.366520253782333,4
ARTHRITIS,5.366520253782333,4
VISUAL ACUITY REDUCED,5.366520253782333,4
RENAL FAILURE,5.366520253782333,4
ANGINA PECTORIS,5.366520253782333,4
HYPERKALAEMIA,5.366520253782333,4
PSORIASIS,4.02489019033675,3
INCREASED TENDENCY TO BRUISE,4.02489019033675,6
LACRIMATION INCREASED,4.02489019033675,3
WITHDRAWAL SYNDROME,4.02489019033675,3
ORAL PAIN,4.02489019033675,3
PHARYNGEAL OEDEMA,4.02489019033675,3
MUSCULOSKELETAL PAIN,4.02489019033675,6
SPLENOMEGALY,4.02489019033675,12
HAEMATOCRIT DECREASED,4.02489019033675,6
INCONTINENCE,4.02489019033675,3
APPLICATION SITE ERYTHEMA,4.02489019033675,3
SKIN IRRITATION,4.02489019033675,3
CELLULITIS,4.02489019033675,3
DECREASED APPETITE,3.3540751586139583,15
RESPIRATORY FAILURE,3.354075158613958,5
CEREBRAL HAEMORRHAGE,3.354075158613958,5
CONSTIPATION,3.2199121522694,12
WEIGHT DECREASED,3.130470148039694,21
CONTUSION,3.130470148039694,21
HAEMOGLOBIN DECREASED,2.7671120058565153,33
ANAEMIA,2.757795130415921,37
SEXUAL DYSFUNCTION,2.6832601268911667,2
INJECTION SITE PAIN,2.6832601268911667,2
TOOTH INFECTION,2.6832601268911667,2
GASTRIC HAEMORRHAGE,2.6832601268911667,2
INTERSTITIAL LUNG DISEASE,2.6832601268911667,2
INGUINAL HERNIA,2.6832601268911667,2
OSTEOMYELITIS,2.6832601268911667,2
PROCTALGIA,2.6832601268911667,2
DEAFNESS,2.6832601268911667,2
EXPIRED DRUG ADMINISTERED,2.6832601268911667,2
BONE PAIN,2.6832601268911667,4
THERAPEUTIC RESPONSE UNEXPECTED,2.6832601268911667,4
ASPARTATE AMINOTRANSFERASE INCREASED,2.6832601268911667,4
CHEST PAIN,2.6832601268911667,10
DEMENTIA ALZHEIMER^S TYPE,2.6832601268911667,2
JOINT INJURY,2.6832601268911667,2
PROSTATIC SPECIFIC ANTIGEN INCREASED,2.6832601268911667,2
LOCALISED INFECTION,2.6832601268911667,2
WHEEZING,2.6832601268911667,2
CATARACT,2.6832601268911667,2
FLATULENCE,2.6832601268911667,6
WOUND,2.6832601268911667,2
OROPHARYNGEAL PAIN,2.6832601268911667,2
OESOPHAGITIS,2.6832601268911667,2
TRANSIENT ISCHAEMIC ATTACK,2.6832601268911667,2
ERUCTATION,2.6832601268911667,2
NEPHROLITHIASIS,2.6832601268911667,2
HAEMOPTYSIS,2.6832601268911667,2
TREATMENT NONCOMPLIANCE,2.6832601268911667,2
BASAL CELL CARCINOMA,2.6832601268911667,2
HYPOACUSIS,2.6832601268911667,2
GLAUCOMA,2.6832601268911667,2
PLATELET COUNT DECREASED,2.459655116316903,22
HYPOAESTHESIA,2.299937251621,12
SINUSITIS,2.2360501057426387,5
SKIN LESION,2.2360501057426387,5
DEHYDRATION,2.1466081015129332,8
PAIN IN EXTREMITY,2.1466081015129332,16
HYPERTENSION,2.1466081015129332,8
ABDOMINAL PAIN UPPER,2.012445095168375,12
POST PROCEDURAL HAEMORRHAGE,2.012445095168375,3
URTICARIA,2.012445095168375,3
HEPATIC FAILURE,2.012445095168375,3
FLUSHING,2.012445095168375,3
ALANINE AMINOTRANSFERASE INCREASED,2.012445095168375,3
RHABDOMYOLYSIS,2.012445095168375,3
PLATELET COUNT ABNORMAL,2.012445095168375,3
URINARY TRACT INFECTION,2.012445095168375,12
MELAENA,2.012445095168375,3
PRESYNCOPE,2.012445095168375,3
NEUTROPENIA,2.012445095168375,3
HYPONATRAEMIA,2.012445095168375,3
TRANSAMINASES INCREASED,2.012445095168375,3
CARDIAC ARREST,2.012445095168375,3
CARDIAC FAILURE CONGESTIVE,2.012445095168375,3
HOT FLUSH,2.012445095168375,3
ARTHRALGIA,1.8782820888238168,14
MYOCARDIAL INFARCTION,1.8782820888238168,7
RASH,1.8207836575332916,19
HAEMATOCHEZIA,1.7888400845941113,4
WHITE BLOOD CELL COUNT DECREASED,1.7888400845941113,8
SKIN DISCOLOURATION,1.7888400845941113,4
POLLAKIURIA,1.7888400845941113,4
MYALGIA,1.72495293871575,9
INFECTION,1.677037579306979,5
FATIGUE,1.6224363557946588,52
LOCAL SWELLING,1.6099560761347,6
CEREBROVASCULAR ACCIDENT,1.5652350740198473,7
ERYTHEMA,1.5332915010806667,8
MUSCLE SPASMS,1.5332915010806667,8
EPISTAXIS,1.5093338213762812,9
DIZZINESS,1.4205494789423823,36
PARALYSIS,1.3416300634455833,1
SKIN SENSITISATION,1.3416300634455833,1
PSYCHOMOTOR HYPERACTIVITY,1.3416300634455833,1
PREMATURE BABY,1.3416300634455833,1
BLOOD ALKALINE PHOSPHATASE INCREASED,1.3416300634455833,1
HEPATIC NEOPLASM,1.3416300634455833,1
LACERATION,1.3416300634455833,1
METASTASES TO BONE,1.3416300634455833,1
ANGIOEDEMA,1.3416300634455833,1
EATING DISORDER,1.3416300634455833,1
SEIZURE,1.3416300634455833,1
MIDDLE INSOMNIA,1.3416300634455833,1
PLATELET COUNT INCREASED,1.3416300634455833,4
DYSGEUSIA,1.3416300634455833,3
TRANSFUSION,1.3416300634455833,3
EAR INFECTION,1.3416300634455833,3
APHASIA,1.3416300634455833,1
UTERINE LEIOMYOMA,1.3416300634455833,1
PNEUMONITIS,1.3416300634455833,1
HIP FRACTURE,1.3416300634455833,3
MOBILITY DECREASED,1.3416300634455833,4
NEUROPATHY PERIPHERAL,1.3416300634455833,4
SKIN CANCER,1.3416300634455833,1
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,1.3416300634455833,1
LOWER GASTROINTESTINAL HAEMORRHAGE,1.3416300634455833,1
INCREASED BRONCHIAL SECRETION,1.3416300634455833,1
APPLICATION SITE PRURITUS,1.3416300634455833,1
PRODUCT USE ISSUE,1.3416300634455833,1
ELECTROCARDIOGRAM ABNORMAL,1.3416300634455833,1
PURULENT DISCHARGE,1.3416300634455833,1
ORAL MUCOSAL ERYTHEMA,1.3416300634455833,1
ABDOMINAL TENDERNESS,1.3416300634455833,1
HAEMARTHROSIS,1.3416300634455833,1
THROMBOTIC MICROANGIOPATHY,1.3416300634455833,1
LARGE INTESTINE POLYP,1.3416300634455833,1
RASH ERYTHEMATOUS,1.3416300634455833,1
GASTRIC DISORDER,1.3416300634455833,1
PERIPHERAL VASCULAR DISORDER,1.3416300634455833,1
EMBOLISM ARTERIAL,1.3416300634455833,1
WHEELCHAIR USER,1.3416300634455833,1
HAEMATOMA,1.3416300634455833,1
STENT PLACEMENT,1.3416300634455833,1
BLOOD CREATININE INCREASED,1.3416300634455833,3
RECTAL HAEMORRHAGE,1.3416300634455833,4
BLOOD PRESSURE INCREASED,1.3416300634455833,4
NIGHT SWEATS,1.3416300634455833,4
INFLAMMATION,1.3416300634455833,1
RENAL CYST,1.3416300634455833,1
HYPERTHYROIDISM,1.3416300634455833,1
ORGANISING PNEUMONIA,1.3416300634455833,1
HYPERLIPIDAEMIA,1.3416300634455833,1
SCAR,1.3416300634455833,1
INTESTINAL OBSTRUCTION,1.3416300634455833,1
MULTI-ORGAN FAILURE,1.3416300634455833,1
DUODENAL ULCER,1.3416300634455833,1
DIALYSIS,1.3416300634455833,1
PSYCHOTIC DISORDER,1.3416300634455833,1
SPINAL DISORDER,1.3416300634455833,1
RESPIRATORY DISTRESS,1.3416300634455833,2
DRUG WITHDRAWAL SYNDROME,1.3416300634455833,2
COLD SWEAT,1.3416300634455833,2
INCORRECT DOSE ADMINISTERED,1.3416300634455833,3
ABDOMINAL DISTENSION,1.3416300634455833,6
UNDERDOSE,1.3416300634455833,1
ELECTROLYTE IMBALANCE,1.3416300634455833,1
CAESAREAN SECTION,1.3416300634455833,1
LIP SWELLING,1.3416300634455833,1
EAR PAIN,1.3416300634455833,1
BLOOD POTASSIUM DECREASED,1.3416300634455833,1
OESOPHAGEAL PAIN,1.3416300634455833,1
PETECHIAE,1.3416300634455833,1
RIB FRACTURE,1.3416300634455833,2
INFLUENZA LIKE ILLNESS,1.3416300634455833,2
MENTAL STATUS CHANGES,1.3416300634455833,2
BLOOD POTASSIUM INCREASED,1.3416300634455833,2
VISION BLURRED,1.3416300634455833,2
MUSCULOSKELETAL STIFFNESS,1.3416300634455833,2
WHITE BLOOD CELL COUNT ABNORMAL,1.3416300634455833,1
CARDIOVASCULAR DISORDER,1.3416300634455833,1
PRODUCT PHYSICAL ISSUE,1.3416300634455833,1
IRON DEFICIENCY ANAEMIA,1.3416300634455833,1
FOOT DEFORMITY,1.3416300634455833,1
INTERVERTEBRAL DISC PROTRUSION,1.3416300634455833,1
WOUND HAEMORRHAGE,1.3416300634455833,1
