reaction_name,total_cases,serious_cases,risk_score
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,1,1,1.0
ABASIA,2,2,1.0
WRONG DRUG ADMINISTERED,1,1,1.0
VISUAL ACUITY REDUCED,4,4,1.0
VIRAL INFECTION,2,2,1.0
VIITH NERVE PARALYSIS,2,2,1.0
VENTRICULAR TACHYCARDIA,1,1,1.0
VENTRICULAR FIBRILLATION,1,1,1.0
VENOUS PRESSURE INCREASED,1,1,1.0
VASCULAR GRAFT OCCLUSION,1,1,1.0
VAGINAL ODOUR,1,1,1.0
VAGINAL INFECTION,1,1,1.0
VAGINAL HAEMORRHAGE,1,1,1.0
UTERINE LEIOMYOMA,1,1,1.0
URINE ODOUR ABNORMAL,1,1,1.0
APNOEA,1,1,1.0
APLASTIC ANAEMIA,1,1,1.0
APHASIA,1,1,1.0
APHAGIA,1,1,1.0
AORTIC VALVE STENOSIS,2,2,1.0
ANTISYNTHETASE SYNDROME,1,1,1.0
ANORECTAL DISCOMFORT,1,1,1.0
ANKLE FRACTURE,1,1,1.0
ANHEDONIA,8,8,1.0
ANGIOEDEMA,1,1,1.0
ANGINA PECTORIS,4,4,1.0
ANDROGEN DEFICIENCY,1,1,1.0
ANAPHYLACTIC REACTION,1,1,1.0
AMNIOTIC FLUID VOLUME DECREASED,1,1,1.0
ASPERGILLUS TEST POSITIVE,1,1,1.0
ARTERITIS,1,1,1.0
ARTERIOSCLEROSIS,2,2,1.0
ARTERIOGRAM CORONARY ABNORMAL,1,1,1.0
ARTERIAL OCCLUSIVE DISEASE,1,1,1.0
APPLICATION SITE VESICLES,1,1,1.0
APPLICATION SITE PAIN,1,1,1.0
APPENDICECTOMY,1,1,1.0
BLINDNESS,2,2,1.0
BLADDER DISORDER,1,1,1.0
BASAL CELL CARCINOMA,2,2,1.0
BACTERIAL SEPSIS,1,1,1.0
BACTERIAL INFECTION,1,1,1.0
ATYPICAL PNEUMONIA,1,1,1.0
ASTHMA,1,1,1.0
ASTHENOPIA,1,1,1.0
URINARY INCONTINENCE,1,1,1.0
UPPER RESPIRATORY TRACT INFECTION,1,1,1.0
UNRESPONSIVE TO STIMULI,6,6,1.0
UNDERDOSE,1,1,1.0
ULCER HAEMORRHAGE,1,1,1.0
ULCER,3,3,1.0
TYPE 2 DIABETES MELLITUS,14,14,1.0
TRANSIENT ISCHAEMIC ATTACK,2,2,1.0
TRANSAMINASES INCREASED,3,3,1.0
TRACHEOSTOMY,1,1,1.0
BLOOD PRESSURE INADEQUATELY CONTROLLED,1,1,1.0
BLOOD PRESSURE DECREASED,1,1,1.0
BLOOD PRESSURE ABNORMAL,2,2,1.0
BLOOD POTASSIUM DECREASED,1,1,1.0
BLOOD GLUCOSE INCREASED,3,3,1.0
BLOOD GLUCOSE ABNORMAL,1,1,1.0
BLOOD CREATINE PHOSPHOKINASE INCREASED,1,1,1.0
BLOOD CREATINE INCREASED,1,1,1.0
BLOOD CHLORIDE INCREASED,1,1,1.0
BLOOD CALCIUM INCREASED,1,1,1.0
BLOOD BILIRUBIN INCREASED,1,1,1.0
BLOOD ALKALINE PHOSPHATASE INCREASED,1,1,1.0
THROMBOTIC MICROANGIOPATHY,1,1,1.0
THROMBOSIS IN DEVICE,1,1,1.0
THROMBOSIS,3,3,1.0
THROMBOPHLEBITIS SUPERFICIAL,2,2,1.0
THROMBOCYTOSIS,1,1,1.0
THROAT TIGHTNESS,1,1,1.0
THERAPEUTIC RESPONSE DECREASED,1,1,1.0
THERAPEUTIC RESPONSE CHANGED,1,1,1.0
BRONCHOPULMONARY DYSPLASIA,1,1,1.0
BRONCHITIS,2,2,1.0
BRONCHIECTASIS,1,1,1.0
BRAIN STEM HAEMORRHAGE,1,1,1.0
BRAIN NEOPLASM,1,1,1.0
BRAIN INJURY,1,1,1.0
BRADYPHRENIA,1,1,1.0
BRADYCARDIA,1,1,1.0
BONE NEOPLASM,1,1,1.0
BLOOD URINE PRESENT,1,1,1.0
BLOOD THYROID STIMULATING HORMONE DECREASED,1,1,1.0
BLOOD PRESSURE SYSTOLIC INCREASED,2,2,1.0
CARDIO-RESPIRATORY ARREST,1,1,1.0
CARDIAC VALVE DISEASE,1,1,1.0
CARDIAC STRESS TEST ABNORMAL,1,1,1.0
CARDIAC FAILURE CONGESTIVE,3,3,1.0
CARDIAC FAILURE ACUTE,1,1,1.0
CARDIAC FAILURE,3,3,1.0
CARDIAC DISORDER,2,2,1.0
CARDIAC ARREST,3,3,1.0
CANDIDA INFECTION,1,1,1.0
CAESAREAN SECTION,1,1,1.0
C-REACTIVE PROTEIN INCREASED,1,1,1.0
TERMINAL STATE,1,1,1.0
TENSION,8,8,1.0
TENDON RUPTURE,3,3,1.0
TENDON PAIN,1,1,1.0
SYSTEMIC CANDIDA,1,1,1.0
SYNOVITIS,1,1,1.0
SYNOVIAL CYST,1,1,1.0
SWOLLEN TONGUE,1,1,1.0
SWELLING FACE,1,1,1.0
SURGICAL FAILURE,1,1,1.0
SUPRAVENTRICULAR TACHYCARDIA,1,1,1.0
SUPERFICIAL SPREADING MELANOMA STAGE UNSPECIFIED,1,1,1.0
CHROMATURIA,1,1,1.0
CHOLELITHIASIS,2,2,1.0
CHILLBLAINS,1,1,1.0
CEREBROVASCULAR ACCIDENT,7,7,1.0
CEREBRAL HAEMORRHAGE,5,5,1.0
CEREBRAL ATROPHY,1,1,1.0
CATHETERISATION CARDIAC,1,1,1.0
CAROTID ARTERIOSCLEROSIS,1,1,1.0
CONCOMITANT DISEASE AGGRAVATED,1,1,1.0
COMPUTERISED TOMOGRAM ABNORMAL,2,2,1.0
COMPARTMENT SYNDROME,3,3,1.0
COLON CANCER METASTATIC,1,1,1.0
COLITIS ISCHAEMIC,2,2,1.0
COGNITIVE DISORDER,1,1,1.0
COAGULOPATHY,1,1,1.0
COAGULATION FACTOR INCREASED,2,2,1.0
CLOSTRIDIUM DIFFICILE INFECTION,1,1,1.0
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,2,2,1.0
CIRCULATORY COLLAPSE,1,1,1.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,3,1.0
SUICIDAL IDEATION,1,1,1.0
SUDDEN CARDIAC DEATH,1,1,1.0
SUBDURAL HAEMORRHAGE,2,2,1.0
STRESS,2,2,1.0
STENT PLACEMENT,1,1,1.0
STEM CELL TRANSPLANT,1,1,1.0
STAPHYLOCOCCUS TEST POSITIVE,1,1,1.0
STAPHYLOCOCCAL BACTERAEMIA,1,1,1.0
SQUAMOUS CELL CARCINOMA,1,1,1.0
SPUTUM DISCOLOURED,1,1,1.0
SPINAL PAIN,1,1,1.0
SPINAL OSTEOARTHRITIS,1,1,1.0
DEATH,9,9,1.0
DEAFNESS,2,2,1.0
CYSTITIS HAEMORRHAGIC,1,1,1.0
CYST RUPTURE,1,1,1.0
CRYING,2,2,1.0
CRANIOTOMY,1,1,1.0
COVID-19,1,1,1.0
CORONARY ARTERY OCCLUSION,2,2,1.0
CORONARY ARTERY DISEASE,1,1,1.0
CORONARY ARTERIAL STENT INSERTION,2,2,1.0
CONFUSIONAL STATE,3,3,1.0
DIABETIC NEUROPATHY,1,1,1.0
DEVICE DISLOCATION,1,1,1.0
DEPRESSED MOOD,1,1,1.0
DEPRESSED LEVEL OF CONSCIOUSNESS,2,2,1.0
DEMENTIA ALZHEIMER^S TYPE,2,2,1.0
DEMENTIA,1,1,1.0
DELUSION,1,1,1.0
DEFORMITY,7,7,1.0
DEEP VEIN THROMBOSIS,2,2,1.0
DECUBITUS ULCER,2,2,1.0
DECREASED INTEREST,1,1,1.0
DECREASED ACTIVITY,1,1,1.0
DIVERTICULUM INTESTINAL HAEMORRHAGIC,1,1,1.0
DIVERTICULITIS,1,1,1.0
DISTURBANCE IN ATTENTION,3,3,1.0
DISSEMINATED INTRAVASCULAR COAGULATION,1,1,1.0
DISABILITY,1,1,1.0
DIALYSIS,1,1,1.0
DIABETIC VASCULAR DISORDER,1,1,1.0
SPINAL FRACTURE,1,1,1.0
SPINAL DISORDER,1,1,1.0
SPEECH DISORDER,2,2,1.0
SOFT TISSUE INFECTION,1,1,1.0
SOCIAL PROBLEM,7,7,1.0
SMALL FIBRE NEUROPATHY,2,2,1.0
SLEEP DISORDER,2,2,1.0
SLEEP APNOEA SYNDROME,1,1,1.0
SKIN WRINKLING,1,1,1.0
SKIN SENSITISATION,1,1,1.0
SKIN HAEMORRHAGE,1,1,1.0
DYSPLASIA,1,1,1.0
DYSPHAGIA,1,1,1.0
DYSKINESIA,1,1,1.0
DYSARTHRIA,2,2,1.0
DUODENAL ULCER,1,1,1.0
DUODENAL POLYP,1,1,1.0
DRUG WITHDRAWAL SYNDROME,2,2,1.0
SKIN CANCER,1,1,1.0
SINUSITIS,5,5,1.0
SINUS POLYP,1,1,1.0
SINUS BRADYCARDIA,2,2,1.0
SICK SINUS SYNDROME,1,1,1.0
SHOULDER OPERATION,1,1,1.0
SEXUAL DYSFUNCTION,2,2,1.0
SEPTIC SHOCK,1,1,1.0
SEPSIS,3,3,1.0
SENSORY LOSS,1,1,1.0
SENSITISATION,1,1,1.0
SEIZURE,1,1,1.0
SECRETION DISCHARGE,1,1,1.0
SCAR,1,1,1.0
ERYTHROPOIESIS ABNORMAL,1,1,1.0
ERUCTATION,2,2,1.0
EMBOLISM ARTERIAL,1,1,1.0
ELECTROLYTE IMBALANCE,1,1,1.0
ELECTROCARDIOGRAM ABNORMAL,1,1,1.0
EJECTION FRACTION DECREASED,1,1,1.0
ECONOMIC PROBLEM,7,7,1.0
EATING DISORDER,1,1,1.0
EAR PAIN,1,1,1.0
EAR INFECTION,3,3,1.0
FOETAL GROWTH RESTRICTION,1,1,1.0
FOETAL EXPOSURE DURING PREGNANCY,1,1,1.0
FEMUR FRACTURE,1,1,1.0
FAECES SOFT,1,1,1.0
FACIAL PARESIS,1,1,1.0
EYELID INFECTION,1,1,1.0
EYE SWELLING,1,1,1.0
SCAB,1,1,1.0
SALMONELLOSIS,1,1,1.0
RUBBER SENSITIVITY,1,1,1.0
ROSACEA,1,1,1.0
RIB FRACTURE,2,2,1.0
RHABDOMYOLYSIS,3,3,1.0
RETROPERITONEAL HAEMORRHAGE,1,1,1.0
RESPIRATORY FAILURE,5,5,1.0
RESPIRATORY DISTRESS,2,2,1.0
RENAL INJURY,1,1,1.0
RENAL IMPAIRMENT,2,2,1.0
RENAL FAILURE ACUTE,3,3,1.0
GENERAL PHYSICAL HEALTH DETERIORATION,2,2,1.0
GASTROINTESTINAL HAEMORRHAGE,19,19,1.0
GASTROINTESTINAL DISORDER,1,1,1.0
GASTROENTERITIS AEROMONAS,1,1,1.0
GASTROENTERITIS,1,1,1.0
GASTRITIS HAEMORRHAGIC,1,1,1.0
GASTRITIS,2,2,1.0
GASTRIC HAEMORRHAGE,2,2,1.0
GASTRIC DISORDER,1,1,1.0
GALLBLADDER DISORDER,1,1,1.0
FREQUENT BOWEL MOVEMENTS,1,1,1.0
HAEMOPTYSIS,2,2,1.0
HAEMATURIA,4,4,1.0
HAEMATOMA,1,1,1.0
HAEMATEMESIS,4,4,1.0
HAEMARTHROSIS,1,1,1.0
GRAND MAL CONVULSION,1,1,1.0
GRAFT VERSUS HOST DISEASE,1,1,1.0
GOITRE,2,2,1.0
GLUCOSE TOLERANCE IMPAIRED,1,1,1.0
GLOMERULAR FILTRATION RATE DECREASED,1,1,1.0
GLIOSIS,1,1,1.0
GLAUCOMA,2,2,1.0
RENAL FAILURE,4,4,1.0
RENAL DISORDER,1,1,1.0
RENAL CYST HAEMORRHAGE,1,1,1.0
RENAL CYST,1,1,1.0
REHABILITATION THERAPY,1,1,1.0
RED BLOOD CELL ABNORMALITY,1,1,1.0
RECTAL HAEMORRHAGE,4,4,1.0
RECTAL FISSURE,1,1,1.0
RECTAL DISCHARGE,1,1,1.0
QRS AXIS ABNORMAL,1,1,1.0
HEPATIC FUNCTION ABNORMAL,3,3,1.0
HEPATIC FAILURE,3,3,1.0
HEMIPLEGIA,1,1,1.0
HEMIANOPIA,1,1,1.0
HEART RATE INCREASED,3,3,1.0
HEARING IMPAIRED,4,4,1.0
HEAD INJURY,1,1,1.0
HAEMORRHOIDAL HAEMORRHAGE,1,1,1.0
HAEMORRHAGIC ANAEMIA,1,1,1.0
HAEMORRHAGE SUBCUTANEOUS,1,1,1.0
HAEMORRHAGE INTRACRANIAL,3,3,1.0
HAEMORRHAGE,3,3,1.0
HYPERSOMNIA,1,1,1.0
HYPERKALAEMIA,4,4,1.0
HUMERUS FRACTURE,2,2,1.0
HIP FRACTURE,3,3,1.0
HERPES VIRUS INFECTION,1,1,1.0
HERPES SIMPLEX,1,1,1.0
HERPES OPHTHALMIC,1,1,1.0
HEPATIC STEATOSIS,1,1,1.0
HEPATIC NEOPLASM,1,1,1.0
PURULENT DISCHARGE,1,1,1.0
PURULENCE,1,1,1.0
PURPURA,1,1,1.0
PULSE ABSENT,1,1,1.0
PULMONARY VASCULAR DISORDER,1,1,1.0
PULMONARY TOXICITY,1,1,1.0
PULMONARY THROMBOSIS,2,2,1.0
PULMONARY OEDEMA,2,2,1.0
PULMONARY MASS,1,1,1.0
PULMONARY HYPERTENSION,1,1,1.0
PULMONARY EMBOLISM,1,1,1.0
PULMONARY ARTERY DILATATION,1,1,1.0
PSYCHOTIC DISORDER,1,1,1.0
PSYCHOMOTOR HYPERACTIVITY,1,1,1.0
PSYCHOLOGICAL TRAUMA,7,7,1.0
PSORIASIS,3,3,1.0
IMPAIRED DRIVING ABILITY,1,1,1.0
IMMUNOSUPPRESSION,1,1,1.0
IMMUNOSUPPRESSANT DRUG LEVEL INCREASED,1,1,1.0
ILLNESS,2,2,1.0
HYPOXIA,1,1,1.0
HYPOTONIA,2,2,1.0
HYPOTHYROIDISM,2,2,1.0
HYPOTENSION,4,4,1.0
HYPONATRAEMIA,3,3,1.0
HYPOGONADISM,1,1,1.0
HYPOGLYCAEMIA,2,2,1.0
HYPERTHYROIDISM,1,1,1.0
INJECTION SITE HAEMATOMA,1,1,1.0
INJECTION SITE ERYTHEMA,1,1,1.0
INGUINAL HERNIA,2,2,1.0
INFLAMMATION,1,1,1.0
INFECTION,5,5,1.0
INFECTED CYST,1,1,1.0
INDURATION,1,1,1.0
INCREASED BRONCHIAL SECRETION,1,1,1.0
INCORRECT DOSE ADMINISTERED,3,3,1.0
INTESTINAL MASS,1,1,1.0
INTESTINAL ISCHAEMIA,1,1,1.0
INTERVERTEBRAL DISC DEGENERATION,1,1,1.0
INTERSTITIAL LUNG DISEASE,2,2,1.0
INTERNATIONAL NORMALISED RATIO INCREASED,4,4,1.0
INTERNATIONAL NORMALISED RATIO ABNORMAL,1,1,1.0
INTERNAL HAEMORRHAGE,1,1,1.0
INTENTIONAL UNDERDOSE,1,1,1.0
INTENTIONAL DRUG MISUSE,1,1,1.0
INJURY,2,2,1.0
INJECTION SITE PAPULE,1,1,1.0
INJECTION SITE PAIN,2,2,1.0
INJECTION SITE MASS,1,1,1.0
INJECTION SITE HYPERSENSITIVITY,1,1,1.0
PRURITUS GENERALISED,1,1,1.0
PROTHROMBIN TIME PROLONGED,2,2,1.0
PROTEINURIA,1,1,1.0
PROTEIN URINE,1,1,1.0
PROSTATIC SPECIFIC ANTIGEN INCREASED,2,2,1.0
PRODUCTIVE COUGH,2,2,1.0
PRODUCT USE ISSUE,1,1,1.0
PRODUCT SUBSTITUTION ISSUE,1,1,1.0
PRODUCT PHYSICAL ISSUE,1,1,1.0
PRODUCT LABEL ON WRONG PRODUCT,1,1,1.0
PRODUCT ADHESION ISSUE,1,1,1.0
PROCTALGIA,2,2,1.0
PRESYNCOPE,3,3,1.0
KOUNIS SYNDROME,1,1,1.0
KIDNEY INFECTION,1,1,1.0
JOINT SWELLING,2,2,1.0
JOINT RANGE OF MOTION DECREASED,1,1,1.0
JOINT INJURY,2,2,1.0
JOINT DISLOCATION,1,1,1.0
ISCHAEMIC STROKE,1,1,1.0
ISCHAEMIC CARDIOMYOPATHY,1,1,1.0
IRRITABILITY,1,1,1.0
IRON DEFICIENCY ANAEMIA,1,1,1.0
INTRA-ABDOMINAL HAEMORRHAGE,1,1,1.0
INTRA-ABDOMINAL HAEMATOMA,1,1,1.0
INTESTINAL PERFORATION,1,1,1.0
INTESTINAL OBSTRUCTION,1,1,1.0
LOCALISED INFECTION,2,2,1.0
LIP SWELLING,1,1,1.0
LEUKOPENIA,1,1,1.0
LEFT VENTRICULAR FAILURE,1,1,1.0
LEFT ATRIAL DILATATION,1,1,1.0
LARGE INTESTINE POLYP,1,1,1.0
LARGE INTESTINAL STENOSIS,1,1,1.0
LACERATION,1,1,1.0
MATERNAL EXPOSURE DURING PREGNANCY,2,2,1.0
MASTOIDITIS,1,1,1.0
MASS,1,1,1.0
MALIGNANT MELANOMA IN SITU,1,1,1.0
MACULAR DEGENERATION,1,1,1.0
LUPUS NEPHRITIS,1,1,1.0
LUNG INFECTION,1,1,1.0
LUNG CONSOLIDATION,1,1,1.0
LUNG CARCINOMA CELL TYPE UNSPECIFIED RECURRENT,1,1,1.0
LUMBAR SPINAL STENOSIS,1,1,1.0
LOWER GASTROINTESTINAL HAEMORRHAGE,1,1,1.0
LOW DENSITY LIPOPROTEIN INCREASED,1,1,1.0
LOW BIRTH WEIGHT BABY,1,1,1.0
LOSS OF EMPLOYMENT,7,7,1.0
LOSS OF CONSCIOUSNESS,8,8,1.0
MUCOSAL INFLAMMATION,1,1,1.0
MOVEMENT DISORDER,1,1,1.0
MOTOR DYSFUNCTION,1,1,1.0
MOBILITY DECREASED,4,4,1.0
MILIARIA,1,1,1.0
METASTASIS,1,1,1.0
METASTASES TO LIVER,1,1,1.0
METASTASES TO BONE,1,1,1.0
MENTAL STATUS CHANGES,2,2,1.0
MENSTRUATION IRREGULAR,1,1,1.0
MELAENA,3,3,1.0
MECONIUM ABNORMAL,1,1,1.0
MECHANICAL VENTILATION,1,1,1.0
PREMATURE LABOUR,1,1,1.0
PREMATURE BABY,1,1,1.0
POST PROCEDURAL HAEMORRHAGE,3,3,1.0
POOR PERIPHERAL CIRCULATION,1,1,1.0
PNEUMONITIS,1,1,1.0
PLEURITIC PAIN,1,1,1.0
PICA,1,1,1.0
PHYSICAL DISABILITY,8,8,1.0
PHOTOPSIA,1,1,1.0
MYOPATHY,1,1,1.0
MYOCARDIAL INFARCTION,7,7,1.0
MYCOBACTERIUM AVIUM COMPLEX INFECTION,1,1,1.0
MUSCULOSKELETAL STIFFNESS,2,2,1.0
MUSCULOSKELETAL CHEST PAIN,1,1,1.0
MUSCLE SPASTICITY,1,1,1.0
MUSCLE DISORDER,1,1,1.0
MULTIPLE SCLEROSIS RELAPSE,1,1,1.0
MULTIPLE SCLEROSIS,1,1,1.0
MULTIPLE INJURIES,8,8,1.0
MULTI-ORGAN FAILURE,1,1,1.0
NEUROLOGIC NEGLECT SYNDROME,1,1,1.0
NERVE INJURY,1,1,1.0
NEPHROLITHIASIS,2,2,1.0
NEPHROGENIC SYSTEMIC FIBROSIS,3,3,1.0
NEONATAL RESPIRATORY DISTRESS SYNDROME,1,1,1.0
NEONATAL CHOLESTASIS,1,1,1.0
NEEDLE ISSUE,1,1,1.0
NECROTISING COLITIS,1,1,1.0
PHARYNGEAL OEDEMA,3,3,1.0
PERIPHERAL VASCULAR DISORDER,1,1,1.0
PERIPHERAL SWELLING,3,3,1.0
PERIPHERAL ARTERY DISSECTION,1,1,1.0
PERIORBITAL OEDEMA,1,1,1.0
PELVIC PAIN,1,1,1.0
PATHOLOGICAL FRACTURE,1,1,1.0
PARONYCHIA,1,1,1.0
PARALYSIS,1,1,1.0
PANCYTOPENIA,2,2,1.0
PANCREATITIS ACUTE,2,2,1.0
PANCREATITIS,1,1,1.0
ORAL DISORDER,1,1,1.0
OESOPHAGITIS,2,2,1.0
OESOPHAGEAL CANDIDIASIS,1,1,1.0
OCULAR DISCOMFORT,1,1,1.0
OBSTRUCTIVE AIRWAYS DISORDER,1,1,1.0
NO ADVERSE EVENT,2,2,1.0
NEUTROPENIC SEPSIS,1,1,1.0
NEUTROPENIA,3,3,1.0
PANCREATIC MASS,1,1,1.0
PANCREATIC CARCINOMA,1,1,1.0
PALPITATIONS,5,5,1.0
PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,1,1,1.0
PAIN IN JAW,1,1,1.0
OVARIAN CYST,1,1,1.0
OSTEOPOROSIS,1,1,1.0
OSTEOPENIA,1,1,1.0
OSTEOMYELITIS,2,2,1.0
ORGANISING PNEUMONIA,1,1,1.0
ORAL SURGERY,1,1,1.0
WRIST FRACTURE,1,1,1.0
WOUND INFECTION,1,1,1.0
WOUND HAEMORRHAGE,1,1,1.0
WITHDRAWAL SYNDROME,3,3,1.0
WHEELCHAIR USER,1,1,1.0
VITH NERVE PARALYSIS,2,2,1.0
VITAMIN B12 DEFICIENCY,1,1,1.0
VISUAL IMPAIRMENT,2,2,1.0
AMNESIA,1,1,1.0
AGGRESSION,1,1,1.0
ADENOCARCINOMA,1,1,1.0
ACUTE RESPIRATORY DISTRESS SYNDROME,2,2,1.0
ACUTE MYOCARDIAL INFARCTION,5,5,1.0
ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,1,1,1.0
ACNE,1,1,1.0
DRUG INTERACTION,20,19,0.95
MYALGIA,9,8,0.8888888888888888
DEHYDRATION,8,7,0.875
ANXIETY,8,7,0.875
FEELING ABNORMAL,7,6,0.8571428571428571
SYNCOPE,7,6,0.8571428571428571
ATRIAL FIBRILLATION,7,6,0.8571428571428571
URINARY TRACT INFECTION,12,10,0.8333333333333334
INCREASED TENDENCY TO BRUISE,6,5,0.8333333333333334
FALL,14,11,0.7857142857142857
ARTHRALGIA,14,11,0.7857142857142857
OFF LABEL USE,9,7,0.7777777777777778
HYPERSENSITIVITY,8,6,0.75
BALANCE DISORDER,4,3,0.75
SKIN DISCOLOURATION,4,3,0.75
DISEASE PROGRESSION,4,3,0.75
ARTHRITIS,4,3,0.75
BLOOD PRESSURE INCREASED,4,3,0.75
ABDOMINAL DISCOMFORT,4,3,0.75
VOMITING,8,6,0.75
NIGHT SWEATS,4,3,0.75
INFLUENZA,4,3,0.75
HAEMATOCHEZIA,4,3,0.75
PAIN IN EXTREMITY,16,11,0.6875
LIVER FUNCTION TEST ABNORMAL,3,2,0.6666666666666666
THROMBOCYTOPENIA,3,2,0.6666666666666666
BLOOD COUNT ABNORMAL,6,4,0.6666666666666666
CYST,3,2,0.6666666666666666
DRY SKIN,6,4,0.6666666666666666
PNEUMONIA,9,6,0.6666666666666666
GAIT DISTURBANCE,12,8,0.6666666666666666
INCONTINENCE,3,2,0.6666666666666666
PYREXIA,15,10,0.6666666666666666
HAEMATOCRIT DECREASED,6,4,0.6666666666666666
HAEMORRHOIDS,3,2,0.6666666666666666
HAEMORRHAGIC DIATHESIS,3,2,0.6666666666666666
CONDITION AGGRAVATED,3,2,0.6666666666666666
URTICARIA,3,2,0.6666666666666666
THERAPY CESSATION,3,2,0.6666666666666666
TENDONITIS,3,2,0.6666666666666666
BLOOD CREATININE INCREASED,3,2,0.6666666666666666
PAIN,24,16,0.6666666666666666
MUSCULOSKELETAL PAIN,6,4,0.6666666666666666
PARAESTHESIA,3,2,0.6666666666666666
HAEMOGLOBIN DECREASED,33,21,0.6363636363636364
HYPERTENSION,8,5,0.625
WEIGHT DECREASED,21,13,0.6190476190476191
OEDEMA PERIPHERAL,10,6,0.6
PRURITUS,15,9,0.6
CHEST PAIN,10,6,0.6
DEPRESSION,5,3,0.6
RASH,19,11,0.5789473684210527
WEIGHT INCREASED,16,9,0.5625
EPISTAXIS,9,5,0.5555555555555556
RED BLOOD CELL COUNT DECREASED,9,5,0.5555555555555556
PLATELET COUNT DECREASED,22,12,0.5454545454545454
ANAEMIA,37,20,0.5405405405405406
INSOMNIA,21,11,0.5238095238095238
RASH GENERALISED,2,1,0.5
EXPIRED DRUG ADMINISTERED,2,1,0.5
LOCAL SWELLING,6,3,0.5
JOINT STIFFNESS,2,1,0.5
THYROID DISORDER,2,1,0.5
BLOOD POTASSIUM INCREASED,2,1,0.5
TREATMENT NONCOMPLIANCE,2,1,0.5
VISION BLURRED,2,1,0.5
