reaction,count,PRR,risk_score
TENSION,8,51.71,1.0
MULTIPLE INJURIES,8,51.71,1.0
PSYCHOLOGICAL TRAUMA,7,45.24,1.0
DEFORMITY,7,22.62,1.0
ANHEDONIA,8,17.24,1.0
INCREASED TENDENCY TO BRUISE,6,12.93,0.83
HAEMATOCRIT DECREASED,6,9.69,0.67
RED BLOOD CELL COUNT DECREASED,9,9.69,0.56
SPLENOMEGALY,12,7.76,0.17
DRY SKIN,6,6.46,0.67
HAEMOGLOBIN DECREASED,33,5.33,0.64
PLATELET COUNT DECREASED,22,5.08,0.55
UNRESPONSIVE TO STIMULI,6,4.85,1.0
CONTUSION,21,4.68,0.29
WHITE BLOOD CELL COUNT DECREASED,8,4.31,0.38
GASTROINTESTINAL HAEMORRHAGE,19,3.96,1.0
MUSCULOSKELETAL PAIN,6,3.88,0.67
ANAEMIA,37,3.86,0.54
FLATULENCE,6,2.98,0.0
WHITE BLOOD CELL COUNT INCREASED,6,2.42,0.17
DECREASED APPETITE,15,2.25,0.27
EPISTAXIS,9,2.24,0.56
ARTHRALGIA,14,2.21,0.79
BLOOD COUNT ABNORMAL,6,2.15,0.67
URINARY TRACT INFECTION,12,2.15,0.83
WEIGHT DECREASED,21,2.09,0.62
ATRIAL FIBRILLATION,7,2.06,0.86
CONSTIPATION,12,2.04,0.33
INSOMNIA,21,2.03,0.52
